,sku,forecast_period,interval,last_date,2019-06,2019-07,2019-08,2019-09,2019-10
0,1286485400,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
1,1376301800,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
2,1376344400,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
3,1408200649,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
4,1685450928,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
5,3164705200,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
6,3166127100,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
7,3469930810,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
8,3892623455,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
9,9018306015,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
10,9429970272,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
11,BNZ02509,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
12,BNZ02891,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
13,BNZ03608,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
14,BNZ04861,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
15,BNZ04960,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
16,BNZ13387,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
17,BNZ14670,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
18,FU004231692,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
19,FU009900059,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
20,FU024315715,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
21,FU025445403,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
22,FU039977789,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
23,FU139971282,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
24,FU324385012,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
25,MC084853,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
26,MC111053,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
27,MC139491,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
28,MC140613,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
29,MC246135,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
30,MC246136,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
31,MC252713,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
32,MC320018,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
33,MC381250,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
34,MC395678,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
35,MC595978,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
36,MC618868,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
37,MC707949,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
38,MC809893,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
39,MC832222,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
40,MC840039,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
41,MC849286,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
42,MC937387,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
43,MC938919,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
44,MC966893,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
45,MD001517,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
46,MD040751,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
47,MD149743,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
48,ME064738,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
49,ME078022,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
50,ME094935,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
51,ME158625,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
52,ME202632,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
53,ME220925,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
54,ME294346,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
55,ME299323,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
56,ME300686,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
57,ME302573,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
58,ME357555,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
59,ME405021,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
60,ME444598,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
61,ME445122,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
62,ME532715,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
63,ME539160,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
64,ME643646,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
65,ME673676,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
66,ME680841,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
67,ME705682,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
68,ME728134,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
69,ME739865,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
70,ME743441,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
71,ME743442,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
72,ME991425,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
73,ME993050,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
74,ME995425,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
75,ME996344,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
76,ME996946,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
77,MF300006,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
78,MF351014,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
79,MH001786,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
80,MH002619,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
81,MH002804,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
82,MH026523,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
83,MH030567,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
84,MH039932,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
85,MH056036,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
86,MH056049,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
87,MK359167,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
88,MK363421,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
89,MK372190,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
90,MK396783,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
91,MK416049,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
92,MK418279,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
93,MK435088,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
94,MK445642,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
95,MK447458R,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
96,MK459555,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
97,MK473014,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
98,MK485618,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
99,MK495785,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
100,MK495786,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
101,MK524095,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
102,MK528184,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
103,MK557609,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
104,MK558851,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
105,MK575745,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
106,MK576049,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
107,MK583510,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
108,MK671223,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
109,MK676924,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
