,sku,forecast_period,interval,last_date,2019-06,2019-07,2019-08,2019-09,2019-10
0,1124483900,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
1,1202234500,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
2,1202236300,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
3,1242102400,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
4,1242102601,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
5,1242220800,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
6,1285715400,5,M,2019-05-28,9.0,7.0,19.0,109.0,7.0
7,1452737800,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
8,1452739600,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
9,1455422600,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
10,1622750900,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
11,1642102101,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
12,1642133201,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
13,1722017500,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
14,1755721500,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
15,1773560500,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
16,1773560600,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
17,1773560700,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
18,1862717400,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
19,1862719600,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
20,1880726800,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
21,3004626602,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
22,3090401600,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
23,3093035100,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
24,3093331900,5,M,2019-05-28,3.75,3.125,3.438,3.281,3.359
25,3093602300,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
26,3097522900,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
27,3114502010,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
28,3117503901,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
29,3124880400,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
30,4440210700,5,M,2019-05-28,0.75,0.625,0.688,0.656,0.672
31,4441545200,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
32,4441553100,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
33,4442259700,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
34,4450768300,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
35,4450972111,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
36,4450972118,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
37,4450972120,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
38,4450972123,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
39,4450972126,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
40,4451514500,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
41,4451553100,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
42,4451741122,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
43,4451741124,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
44,1465A066,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
45,1582A195,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
46,FU326346000,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
47,FU326347000,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
48,FU326348001,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
49,MA141871,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
50,MA151204,5,M,2019-05-28,4.0,4.0,4.0,4.0,4.0
51,MA236062,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
52,MB000079,5,M,2019-05-28,52.0,42.0,13.0,14.0,38.0
53,MB005277,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
54,MB005278,5,M,2019-05-28,0.0,0.0,0.0,1.0,0.0
55,MB005279,5,M,2019-05-28,0.0,0.0,0.0,1.0,0.0
56,MB005280,5,M,2019-05-28,0.0,0.0,0.0,1.0,0.0
57,MB025760,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
58,MB060083,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
59,MB060148,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
60,MB060246,5,M,2019-05-28,5.0,6.0,6.0,6.0,6.0
61,MB083730,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
62,MB110347,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
63,MB111214,5,M,2019-05-28,3.0,2.5,2.75,2.625,2.688
64,MB145120,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
65,MB158706,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
66,MB161146,5,M,2019-05-28,7.0,4.0,4.0,8.0,3.0
67,MB161822,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
68,MB188184,5,M,2019-05-28,0.0,0.0,0.0,0.0,1.0
69,MB188930,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
