Month,Sales
01-01-17,266
02-01-17,145.9
03-01-17,183.1
04-01-17,119.3
05-01-17,180.3
06-01-17,168.5
07-01-17,231.8
08-01-17,224.5
09-01-17,192.8
10-01-17,122.9
11-01-17,336.5
12-01-17,185.9
01-01-18,194.3
02-01-18,149.5
03-01-18,210.1
04-01-18,273.3
05-01-18,191.4
06-01-18,287
07-01-18,226
08-01-18,303.6
09-01-18,289.9
10-01-18,421.6
11-01-18,264.5
12-01-18,342.3
01-01-19,339.7
02-01-19,440.4
03-01-19,315.9
04-01-19,439.3
05-01-19,401.3
06-01-19,437.4
07-01-19,575.5
08-01-19,407.6
09-01-19,682
10-01-19,475.3
11-01-19,581.3
12-01-19,646.9
